geneId	symbol	chromosome	Synonyms	type_of_gene
105378524	LOC105378524	10	-	ncRNA
105378525	LOC105378525	10	-	ncRNA
105378526	LOC105378526	10	-	ncRNA
105378530	LOC105378530	10	-	ncRNA
105378531	LOC105378531	10	-	ncRNA
105378532	LOC105378532	10	-	ncRNA
105378533	LOC105378533	10	-	ncRNA
105378534	LOC105378534	10	-	ncRNA
105378536	LOC105378536	10	-	ncRNA
105378539	LOC105378539	10	-	ncRNA
105378541	LOC105378541	10	-	ncRNA
105378542	LOC105378542	10	-	ncRNA
105378543	LOC105378543	10	-	ncRNA
105378544	LOC105378544	10	-	ncRNA
105378545	LOC105378545	10	-	ncRNA
105378547	LOC105378547	10	-	ncRNA
105378548	LOC105378548	10	-	ncRNA
105378549	LOC105378549	10	-	ncRNA
105378550	LOC105378550	10	-	ncRNA
105378551	LOC105378551	10	-	ncRNA
105378552	LOC105378552	10	-	ncRNA
105378553	AS-PTPRE	10	-	ncRNA
105378554	LOC105378554	10	-	ncRNA
105378555	LOC105378555	10	-	ncRNA
105378556	LOC105378556	10	-	ncRNA
105378557	LOC105378557	10	-	ncRNA
105378558	LOC105378558	10	-	ncRNA
105378560	LOC105378560	10	-	ncRNA
105378561	LOC105378561	10	-	ncRNA
105378562	LOC105378562	10	-	ncRNA
105378563	LOC105378563	10	-	ncRNA
105378565	LOC105378565	10	-	ncRNA
105378566	LOC105378566	10	-	ncRNA
105378567	LOC105378567	10	-	ncRNA
105378568	LOC105378568	10	-	ncRNA
105378569	LOC105378569	10	-	ncRNA
105378570	LOC105378570	10	-	ncRNA
105378571	LOC105378571	10	-	ncRNA
105378572	LOC105378572	10	-	ncRNA
105378573	LOC105378573	10	-	ncRNA
105378574	LOC105378574	10	-	ncRNA
105378575	LOC105378575	10	-	ncRNA
105378576	LOC105378576	10	-	ncRNA
105378577	LOC105378577	10	-	protein-coding
105378580	LOC105378580	1	-	ncRNA
105378585	LOC105378585	1	-	ncRNA
105378586	LOC105378586	1	-	ncRNA
105378589	LOC105378589	1	-	ncRNA
105378590	LOC105378590	1	-	ncRNA
105378591	LOC105378591	1	-	ncRNA
105378592	LOC105378592	1	-	protein-coding
105378593	LOC105378593	1	-	ncRNA
105378597	LOC105378597	1	-	ncRNA
105378598	LOC105378598	1	-	ncRNA
105378599	LOC105378599	1	-	ncRNA
105378600	LOC105378600	1	-	ncRNA
105378601	LOC105378601	1	-	ncRNA
105378602	LOC105378602	1	-	ncRNA
105378603	LOC105378603	1	-	ncRNA
105378604	LOC105378604	1	-	ncRNA
105378605	LOC105378605	1	-	ncRNA
105378606	LOC105378606	1	-	ncRNA
105378607	LOC105378607	1	-	ncRNA
105378608	LOC105378608	1	-	ncRNA
105378609	LOC105378609	1	-	ncRNA
105378610	LOC105378610	1	-	ncRNA
105378612	LOC105378612	1	-	ncRNA
105378614	LOC105378614	1	-	ncRNA
105378615	LOC105378615	1	-	ncRNA
105378616	LINC01715	1	-	ncRNA
105378617	LOC105378617	1	-	ncRNA
105378618	LOC105378618	1	-	ncRNA
105378619	LOC105378619	1	-	ncRNA
105378620	LOC105378620	1	-	ncRNA
105378621	LOC105378621	1	-	ncRNA
105378622	LINC01778	1	-	ncRNA
105378623	LOC105378623	1	-	ncRNA
105378625	LOC105378625	1	-	ncRNA
105378626	LOC105378626	1	-	ncRNA
105378627	LOC105378627	1	-	protein-coding
105378628	LOC105378628	1	-	ncRNA
105378629	LOC105378629	1	-	ncRNA
105378631	LOC105378631	1	-	ncRNA
105378632	LOC105378632	1	-	ncRNA
105378635	LOC105378635	1	-	ncRNA
105378638	LOC105378638	1	-	ncRNA
105378639	LOC105378639	1	-	ncRNA
105378640	LOC105378640	1	-	ncRNA
105378641	LOC105378641	1	-	ncRNA
105378642	LOC105378642	1	-	ncRNA
105378644	LOC105378644	1	-	ncRNA
105378645	LOC105378645	1	-	ncRNA
105378646	LOC105378646	1	-	ncRNA
105378647	LOC105378647	1	-	ncRNA
105378648	LOC105378648	1	-	ncRNA
105378649	LOC105378649	1	-	ncRNA
105378650	LOC105378650	1	-	ncRNA
105378651	LOC105378651	1	-	ncRNA
105378653	LOC105378653	1	-	ncRNA
105378654	LOC105378654	1	-	ncRNA
105378655	LOC105378655	1	-	ncRNA
105378656	LINC01685	1	-	ncRNA
105378657	LOC105378657	1	-	ncRNA
105378658	LOC105378658	1	-	ncRNA
105378660	LOC105378660	1	-	ncRNA
105378662	LOC105378662	1	-	ncRNA
105378663	LOC105378663	1	-	ncRNA
105378665	LOC105378665	1	-	ncRNA
105378666	LOC105378666	1	-	ncRNA
105378667	LOC105378667	1	-	ncRNA
105378668	LOC105378668	1	-	ncRNA
105378669	LOC105378669	1	-	ncRNA
105378671	LOC105378671	1	-	ncRNA
105378672	LOC105378672	1	-	ncRNA
105378673	LOC105378673	1	-	ncRNA
105378674	LOC105378674	1	-	ncRNA
105378675	LOC105378675	1	-	ncRNA
105378676	LOC105378676	1	-	ncRNA
105378678	LOC105378678	1	-	ncRNA
105378683	LOC105378683	1	-	ncRNA
105378685	LOC105378685	1	-	ncRNA
105378687	LOC105378687	1	-	ncRNA
105378688	LOC105378688	1	-	ncRNA
105378689	LOC105378689	1	-	ncRNA
105378690	LOC105378690	1	-	ncRNA
105378691	LOC105378691	1	-	ncRNA
105378693	LOC105378693	1	-	ncRNA
105378694	LOC105378694	1	-	ncRNA
105378695	LOC105378695	1	-	ncRNA
105378696	LOC105378696	1	-	ncRNA
105378697	LOC105378697	1	-	ncRNA
105378698	LOC105378698	1	-	ncRNA
105378699	LOC105378699	1	-	ncRNA
105378701	LOC105378701	1	-	ncRNA
105378702	LOC105378702	1	-	ncRNA
105378706	LOC105378706	1	-	ncRNA
105378708	LOC105378708	1	-	ncRNA
105378709	LOC105378709	1	-	ncRNA
105378710	LOC105378710	1	-	ncRNA
105378711	LOC105378711	1	-	ncRNA
105378712	LOC105378712	1	-	ncRNA
105378714	LOC105378714	1	-	ncRNA
105378715	LOC105378715	1	-	ncRNA
105378716	LOC105378716	1	-	ncRNA
105378717	LOC105378717	1	-	ncRNA
105378719	LOC105378719	1	-	ncRNA
105378720	LOC105378720	1	-	ncRNA
105378721	LOC105378721	1	-	ncRNA
105378723	LOC105378723	1	-	ncRNA
105378724	LOC105378724	1	-	ncRNA
105378726	LOC105378726	1	-	ncRNA
105378728	LOC105378728	1	-	ncRNA
105378730	LOC105378730	1	-	ncRNA
105378731	LOC105378731	1	-	ncRNA
105378732	LINC01771	1	-	ncRNA
105378733	LOC105378733	1	-	ncRNA
105378734	LOC105378734	1	-	ncRNA
105378735	LOC105378735	1	-	ncRNA
105378736	LOC105378736	1	-	ncRNA
105378737	LOC105378737	1	-	ncRNA
105378738	LINC01755	1	-	ncRNA
105378739	LINC01753	1	-	ncRNA
105378740	LOC105378740	1	-	ncRNA
105378741	LOC105378741	1	-	ncRNA
105378744	LINC01767	1	-	ncRNA
105378745	LOC105378745	1	-	ncRNA
105378746	LOC105378746	1	-	ncRNA
105378747	LOC105378747	1	-	ncRNA
105378748	LOC105378748	1	-	ncRNA
105378749	LOC105378749	1	-	ncRNA
105378751	LOC105378751	1	-	ncRNA
105378753	LOC105378753	1	-	ncRNA
105378756	LOC105378756	1	-	ncRNA
105378758	LOC105378758	1	-	ncRNA
105378760	LOC105378760	1	-	ncRNA
105378761	LOC105378761	1	-	ncRNA
105378763	LINC01748	1	-	ncRNA
105378764	LOC105378764	1	-	ncRNA
105378766	LOC105378766	1	-	ncRNA
105378768	LOC105378768	1	-	ncRNA
105378769	LINC01739	1	-	ncRNA
105378770	LOC105378770	1	-	ncRNA
105378771	LOC105378771	1	-	ncRNA
105378772	LOC105378772	1	-	ncRNA
105378773	LOC105378773	1	-	ncRNA
105378774	LOC105378774	1	-	ncRNA
105378776	LOC105378776	1	-	ncRNA
105378779	LOC105378779	1	-	ncRNA
105378780	LOC105378780	1	-	ncRNA
105378781	LOC105378781	1	-	ncRNA
105378782	LOC105378782	1	-	ncRNA
105378783	LOC105378783	1	-	ncRNA
105378785	LINC01707	1	-	ncRNA
105378786	LOC105378786	1	-	ncRNA
105378787	LOC105378787	1	-	ncRNA
105378788	LINC01758	1	-	ncRNA
105378789	LOC105378789	1	-	ncRNA
105378790	LOC105378790	1	-	ncRNA
105378792	LOC105378792	1	-	ncRNA
105378793	LOC105378793	1	-	ncRNA
105378794	LOC105378794	1	-	ncRNA
105378795	LOC105378795	1	-	ncRNA
105378796	LOC105378796	1	-	ncRNA
105378797	LOC105378797	1	-	ncRNA
105378798	LOC105378798	1	-	ncRNA
105378799	LOC105378799	1	-	ncRNA
105378800	LOC105378800	1	-	ncRNA
105378801	LOC105378801	1	-	ncRNA
105378802	LOC105378802	1	-	ncRNA
105378803	LRRC53	1	-	protein-coding
105378805	LOC105378805	1	-	ncRNA
105378806	LOC105378806	1	-	ncRNA
105378807	LOC105378807	1	-	ncRNA
105378808	LOC105378808	1	-	ncRNA
105378810	LOC105378810	1	-	ncRNA
105378811	LOC105378811	1	-	ncRNA
105378812	LOC105378812	1	-	ncRNA
105378813	LOC105378813	1	-	ncRNA
105378814	LOC105378814	1	-	ncRNA
105378816	LOC105378816	1	-	ncRNA
105378819	LOC105378819	1	-	ncRNA
105378821	LOC105378821	1	-	ncRNA
105378823	LOC105378823	1	-	ncRNA
105378824	LOC105378824	1	-	ncRNA
105378825	LOC105378825	1	-	ncRNA
105378826	LOC105378826	1	-	ncRNA
105378827	LOC105378827	1	-	ncRNA
105378828	LOC105378828	1	-	ncRNA
105378831	LOC105378831	1	-	ncRNA
105378833	LOC105378833	1	-	ncRNA
105378834	LOC105378834	1	-	ncRNA
105378835	LOC105378835	1	-	ncRNA
105378836	LOC105378836	1	-	ncRNA
105378838	LOC105378838	1	-	ncRNA
105378839	LOC105378839	1	-	ncRNA
105378841	LOC105378841	1	-	ncRNA
105378842	LOC105378842	1	-	ncRNA
105378843	LOC105378843	1	-	ncRNA
105378844	LOC105378844	1	-	ncRNA
105378845	LOC105378845	1	-	ncRNA
105378847	LOC105378847	1	-	ncRNA
105378848	LOC105378848	1	-	ncRNA
105378849	LOC105378849	1	-	ncRNA
105378850	LOC105378850	1	-	ncRNA
105378851	LOC105378851	1	-	ncRNA
105378852	LOC105378852	1	-	ncRNA
105378853	LOC105378853	1	-	ncRNA
105378854	LINC01763	1	-	ncRNA
105378855	LOC105378855	1	-	ncRNA
105378856	LOC105378856	1	-	ncRNA
105378858	LOC105378858	1	-	ncRNA
105378859	LOC105378859	1	-	ncRNA
105378860	LOC105378860	1	-	ncRNA
105378861	LOC105378861	1	-	ncRNA
105378862	LOC105378862	1	-	protein-coding
105378863	LOC105378863	1	-	ncRNA
105378864	LOC105378864	1	-	ncRNA
105378866	LOC105378866	1	-	ncRNA
105378867	LOC105378867	1	-	ncRNA
105378872	LINC01709	1	-	ncRNA
105378874	LOC105378874	1	-	ncRNA
105378877	LOC105378877	1	-	ncRNA
105378878	LOC105378878	1	-	ncRNA
105378879	LOC105378879	1	-	ncRNA
105378880	LOC105378880	1	-	ncRNA
105378881	LOC105378881	1	-	ncRNA
105378882	LOC105378882	1	-	ncRNA
105378883	LOC105378883	1	-	ncRNA
105378884	LINC01677	1	-	ncRNA
105378885	LOC105378885	1	-	ncRNA
105378886	LOC105378886	1	-	ncRNA
105378887	LOC105378887	1	-	ncRNA
105378888	LOC105378888	1	-	ncRNA
105378889	LINC01661	1	-	ncRNA
105378890	LOC105378890	1	-	ncRNA
105378891	LOC105378891	1	-	ncRNA
105378892	LOC105378892	1	-	ncRNA
105378893	LOC105378893	1	-	ncRNA
105378895	LOC105378895	1	-	ncRNA
105378897	LOC105378897	1	-	ncRNA
105378898	LOC105378898	1	-	ncRNA
105378899	LOC105378899	1	-	ncRNA
105378901	LOC105378901	1	-	ncRNA
105378903	LOC105378903	1	-	ncRNA
105378904	LOC105378904	1	-	ncRNA
105378906	LOC105378906	1	-	ncRNA
105378909	LOC105378909	1	-	ncRNA
105378910	LOC105378910	1	-	ncRNA
105378911	LOC105378911	1	-	ncRNA
105378912	HP08777	1	-	ncRNA
105378913	LOC105378913	1	-	ncRNA
105378914	LOC105378914	1	-	ncRNA
105378915	LOC105378915	1	-	ncRNA
105378916	LINC01765	1	-	ncRNA
105378917	LOC105378917	1	-	ncRNA
105378918	LOC105378918	1	-	ncRNA
105378919	LOC105378919	1	-	ncRNA
105378920	LOC105378920	1	-	ncRNA
105378924	LOC105378924	1	-	ncRNA
105378925	LOC105378925	1	-	ncRNA
105378926	LOC105378926	1	-	ncRNA
105378927	LOC105378927	1	-	ncRNA
105378929	LOC105378929	1	-	ncRNA
105378930	LOC105378930	1	-	ncRNA
105378933	LOC105378933	1	-	ncRNA
105378934	LINC01780	1	-	ncRNA
105378935	LOC105378935	1	-	ncRNA
105378936	LOC105378936	1	-	ncRNA
105378937	LOC105378937	1	-	ncRNA
105378938	LOC105378938	1	-	ncRNA
105378939	LOC105378939	1	-	ncRNA
105378940	LOC105378940	1	-	ncRNA
105378941	LOC105378941	1	-	ncRNA
105378943	LOC105378943	1	-	ncRNA
105378944	LOC105378944	1	-	ncRNA
105378945	LOC105378945	1	-	ncRNA
105378946	LOC105378946	1	-	ncRNA
105378947	LOC105378947	1	-	protein-coding
105378948	LOC105378948	1	-	ncRNA
105378949	LOC105378949	1	-	protein-coding
105378950	LOC105378950	1	-	protein-coding
105378951	LOC105378951	1	-	ncRNA
105378952	KLF18	1	-	pseudo
105378954	LOC105378954	1	-	pseudo
105378955	LOC105378955	11	-	protein-coding
105378956	LOC105378956	11	-	ncRNA
105378959	LOC105378959	5	-	ncRNA
105378960	LINC02118	5	-	ncRNA
105378961	LOC105378961	5	-	ncRNA
105378962	LOC105378962	5	-	ncRNA
105378963	LOC105378963	5	-	ncRNA
105378964	LOC105378964	5	-	ncRNA
105378965	LOC105378965	5	-	ncRNA
105378966	LINC02105	5	-	ncRNA
105378967	LOC105378967	5	-	ncRNA
105378968	LOC105378968	5	-	ncRNA
105378969	LOC105378969	5	-	ncRNA
105378971	LOC105378971	5	-	ncRNA
105378973	LOC105378973	5	-	ncRNA
105378975	LOC105378975	5	-	ncRNA
105378976	LOC105378976	5	-	ncRNA
105378977	LOC105378977	5	-	ncRNA
105378978	LOC105378978	5	-	ncRNA
105378979	LOC105378979	5	-	protein-coding
105378980	LOC105378980	5	-	ncRNA
105378983	LOC105378983	5	-	ncRNA
105378984	LOC105378984	5	-	ncRNA
105378986	LOC105378986	5	-	ncRNA
105378988	LOC105378988	5	-	ncRNA
105378991	LOC105378991	5	-	ncRNA
105378992	LINC02057	5	-	ncRNA
105378993	LOC105378993	5	-	ncRNA
105378994	LOC105378994	5	-	ncRNA
105378995	LOC105378995	5	-	ncRNA
105378996	LOC105378996	5	-	ncRNA
105378997	LOC105378997	5	-	ncRNA
105378998	LOC105378998	5	-	ncRNA
105378999	LOC105378999	5	-	ncRNA
105379002	LOC105379002	5	-	ncRNA
105379003	LOC105379003	5	-	ncRNA
105379004	LOC105379004	5	-	ncRNA
105379005	LOC105379005	5	-	ncRNA
105379006	LINC02242	5	-	ncRNA
105379007	LOC105379007	5	-	ncRNA
105379010	LOC105379010	5	-	ncRNA
105379011	LOC105379011	5	-	ncRNA
105379012	LOC105379012	5	-	ncRNA
105379013	LOC105379013	5	-	ncRNA
105379014	LOC105379014	5	-	ncRNA
105379015	LOC105379015	5	-	ncRNA
105379016	LOC105379016	5	-	ncRNA
105379020	LOC105379020	5	-	ncRNA
105379021	LOC105379021	5	-	ncRNA
105379023	LOC105379023	5	-	ncRNA
105379025	LOC105379025	5	-	ncRNA
105379026	LOC105379026	5	-	ncRNA
105379027	LOC105379027	5	-	ncRNA
105379028	LOC105379028	5	-	ncRNA
105379030	LOC105379030	5	-	ncRNA
105379031	LOC105379031	5	-	ncRNA
105379033	LINC02230	5	-	ncRNA
105379034	LOC105379034	5	-	ncRNA
105379035	LOC105379035	5	-	ncRNA
105379036	LINC02122	5	-	ncRNA
105379037	LINC01157	5	linc-Enc1	ncRNA
105379039	LOC105379039	5	-	ncRNA
105379040	LOC105379040	5	-	ncRNA
105379041	LOC105379041	5	-	ncRNA
105379042	LOC105379042	5	-	ncRNA
105379043	LOC105379043	5	-	ncRNA
105379045	LOC105379045	5	-	protein-coding
105379047	LOC105379047	5	-	ncRNA
105379048	LOC105379048	5	-	ncRNA
105379049	LOC105379049	5	-	ncRNA
105379050	LOC105379050	5	-	ncRNA
105379051	LOC105379051	5	-	ncRNA
105379052	LOC105379052	5	-	ncRNA
105379053	LOC105379053	5	-	ncRNA
105379054	VCAN-AS1	5	-	ncRNA
105379055	LOC105379055	5	-	ncRNA
105379057	LOC105379057	5	-	ncRNA
105379059	LOC105379059	5	-	ncRNA
105379061	LOC105379061	5	-	ncRNA
105379062	LOC105379062	5	-	ncRNA
105379063	LOC105379063	5	-	ncRNA
105379064	LOC105379064	5	-	ncRNA
105379065	LOC105379065	5	-	ncRNA
105379066	LOC105379066	5	-	ncRNA
105379069	LINC02144	5	-	ncRNA
105379070	LOC105379070	5	-	ncRNA
105379073	LOC105379073	5	-	ncRNA
105379074	LOC105379074	5	-	ncRNA
105379076	LINC02161	5	-	ncRNA
105379077	LOC105379077	5	-	ncRNA
105379078	LOC105379078	5	-	ncRNA
105379080	LOC105379080	5	-	ncRNA
105379082	LOC105379082	5	-	ncRNA
105379083	LOC105379083	5	-	ncRNA
105379085	LOC105379085	5	-	ncRNA
105379086	LOC105379086	5	-	ncRNA
105379087	LOC105379087	5	-	ncRNA
105379089	LOC105379089	5	-	ncRNA
105379090	LOC105379090	5	-	ncRNA
105379091	LOC105379091	5	-	ncRNA
105379092	LOC105379092	5	-	ncRNA
105379094	LOC105379094	5	-	ncRNA
105379096	LOC105379096	5	-	ncRNA
105379098	LINC01846	5	-	ncRNA
105379099	LOC105379099	5	-	ncRNA
105379100	LOC105379100	5	-	ncRNA
105379101	LOC105379101	5	-	ncRNA
105379102	LOC105379102	5	-	ncRNA
105379103	LOC105379103	5	-	ncRNA
105379104	LOC105379104	5	-	ncRNA
105379105	LOC105379105	5	-	ncRNA
105379107	LOC105379107	5	-	ncRNA
105379109	LOC105379109	5	-	ncRNA
105379110	LOC105379110	5	-	ncRNA
105379111	LOC105379111	5	-	ncRNA
105379114	LOC105379114	5	-	ncRNA
105379117	LOC105379117	5	-	ncRNA
105379118	LOC105379118	5	-	ncRNA
105379119	LOC105379119	5	-	ncRNA
105379121	LOC105379121	5	-	ncRNA
105379122	LOC105379122	5	-	ncRNA
105379123	LOC105379123	5	-	ncRNA
105379126	LOC105379126	5	-	ncRNA
105379127	LOC105379127	5	-	ncRNA
105379129	LOC105379129	5	-	ncRNA
105379130	LOC105379130	5	-	ncRNA
105379132	SEMA6A-AS2	5	-	ncRNA
105379133	LOC105379133	5	-	ncRNA
105379134	LOC105379134	5	-	ncRNA
105379135	LOC105379135	5	-	ncRNA
105379136	LOC105379136	5	-	ncRNA
105379137	LOC105379137	5	-	ncRNA
105379138	LOC105379138	5	-	ncRNA
105379139	LOC105379139	5	-	ncRNA
105379141	LINC02216	5	-	ncRNA
105379143	LOC105379143	5	-	ncRNA
105379144	LOC105379144	5	-	ncRNA
105379145	LOC105379145	5	-	ncRNA
105379147	LOC105379147	5	-	ncRNA
105379148	LOC105379148	5	-	ncRNA
105379149	LOC105379149	5	-	ncRNA
105379150	LOC105379150	5	-	ncRNA
105379151	LOC105379151	5	-	ncRNA
105379152	LOC105379152	5	-	ncRNA
105379154	LOC105379154	5	-	ncRNA
105379155	LOC105379155	5	-	ncRNA
105379156	LOC105379156	5	-	ncRNA
105379157	LOC105379157	5	-	ncRNA
105379158	LOC105379158	5	-	ncRNA
105379160	LOC105379160	5	-	ncRNA
105379162	LOC105379162	5	-	ncRNA
105379163	LOC105379163	5	-	ncRNA
105379164	LOC105379164	5	-	ncRNA
105379167	LOC105379167	5	-	ncRNA
105379168	LOC105379168	5	-	ncRNA
105379169	LOC105379169	5	-	ncRNA
105379170	LOC105379170	5	-	ncRNA
105379171	LOC105379171	5	-	ncRNA
105379172	LOC105379172	5	-	ncRNA
105379173	LOC105379173	5	-	ncRNA
105379174	LOC105379174	5	-	ncRNA
105379175	LOC105379175	5	-	ncRNA
105379176	LOC105379176	5	-	ncRNA
105379177	LOC105379177	5	-	protein-coding
105379178	LOC105379178	5	-	ncRNA
105379179	LOC105379179	5	-	ncRNA
105379180	CTB-3M24.3	5	-	ncRNA
105379181	CTB-49A3.2	5	-	ncRNA
105379182	LOC105379182	5	-	ncRNA
105379183	LOC105379183	5	-	ncRNA
105379185	LOC105379185	5	-	ncRNA
105379188	LOC105379188	5	-	ncRNA
105379189	LOC105379189	5	-	ncRNA
105379191	CTB-1I21.1	5	-	ncRNA
105379192	LOC105379192	5	-	ncRNA
105379193	LOC105379193	5	-	ncRNA
105379194	LOC105379194	5	-	ncRNA
105379195	LOC105379195	5	-	ncRNA
105379196	LOC105379196	5	-	pseudo
105379197	PDZPH1P	5	-	pseudo
105379198	LOC105379198	5	-	protein-coding
105379199	LOC105379199	5	-	ncRNA
105379202	FAM30B	15	HsT16028|KIAA0125P1	ncRNA
105379203	LOC105379203	15	-	ncRNA
105379205	LOC105379205	15	-	ncRNA
105379207	LOC105379207	15	-	ncRNA
105379208	LOC105379208	15	-	ncRNA
105379212	LOC105379212	1	-	ncRNA
105379215	LOC105379215	8	-	ncRNA
105379216	LOC105379216	8	-	ncRNA
105379219	LOC105379219	8	-	ncRNA
105379220	LOC105379220	8	-	pseudo
105379222	LOC105379222	8	-	ncRNA
105379224	LOC105379224	8	-	ncRNA
105379225	LOC105379225	8	-	ncRNA
105379227	LOC105379227	8	-	ncRNA
105379228	LOC105379228	8	-	ncRNA
105379230	LOC105379230	8	-	ncRNA
105379231	LOC105379231	8	-	ncRNA
105379234	LOC105379234	8	-	ncRNA
105379235	LOC105379235	8	-	ncRNA
105379237	LOC105379237	8	-	ncRNA
105379241	LOC105379241	8	-	ncRNA
105379242	LOC105379242	8	-	ncRNA
105379243	LOC105379243	8	-	ncRNA
105379244	LOC105379244	8	-	ncRNA
105379245	LOC105379245	8	-	ncRNA
105379246	LOC105379246	8	-	ncRNA
105379249	LOC105379249	9	-	ncRNA
105379250	LOC105379250	9	-	ncRNA
105379251	LOC105379251	9	-	ncRNA
105379252	LOC105379252	9	-	ncRNA
105379255	LOC105379255	9	-	ncRNA
105379257	LOC105379257	9	-	ncRNA
105379263	LOC105379263	9	-	ncRNA
105379264	LOC105379264	Y	-	ncRNA
105379265	LOC105379265	Y	-	ncRNA
105379266	LOC105379266	Y	-	ncRNA
105379267	LOC105379267	Y	-	ncRNA
105379268	FAM197Y8	Y	-	ncRNA
105379269	FAM197Y7	Y	FAM197Y7P	ncRNA
105379270	FAM197Y6	Y	-	ncRNA
105379271	LOC105379271	14	-	ncRNA
105379272	LOC105379272	14	-	protein-coding
105379273	LOC105379273	Y	-	ncRNA
105379274	LOC105379274	14	-	ncRNA
105379275	LOC105379275	Un	-	ncRNA
105379276	LOC105379276	Un	-	ncRNA
105379278	LOC105379278	13	-	ncRNA
105379279	LOC105379279	17	-	ncRNA
105379280	LOC105379280	17	-	ncRNA
105379281	LOC105379281	17	-	ncRNA
105379282	LOC105379282	1	-	protein-coding
105379283	LOC105379283	1	-	ncRNA
105379286	LOC105379286	4	-	ncRNA
105379289	LOC105379289	8	-	ncRNA
105379292	LOC105379292	8	-	ncRNA
105379297	LOC105379297	8	-	ncRNA
105379298	LOC105379298	8	-	ncRNA
105379300	LOC105379300	8	-	ncRNA
105379301	LOC105379301	8	-	ncRNA
105379303	LOC105379303	8	-	ncRNA
105379306	LOC105379306	8	-	ncRNA
105379308	LOC105379308	8	-	ncRNA
105379309	LOC105379309	8	-	ncRNA
105379310	LOC105379310	8	-	ncRNA
105379311	LOC105379311	8	-	ncRNA
105379312	LOC105379312	8	-	ncRNA
105379314	LOC105379314	8	-	ncRNA
105379315	LOC105379315	8	-	ncRNA
105379316	LOC105379316	8	-	ncRNA
105379318	LOC105379318	8	-	ncRNA
105379319	LOC105379319	8	-	ncRNA
105379321	LOC105379321	8	-	ncRNA
105379322	LOC105379322	8	-	ncRNA
105379325	LOC105379325	8	-	ncRNA
105379326	LOC105379326	8	-	ncRNA
105379327	LOC105379327	8	-	ncRNA
105379328	LOC105379328	8	-	ncRNA
105379329	LOC105379329	8	-	ncRNA
105379330	LOC105379330	8	-	ncRNA
105379331	LOC105379331	8	-	ncRNA
105379332	LOC105379332	8	-	ncRNA
105379333	LOC105379333	8	-	ncRNA
105379335	LOC105379335	8	-	ncRNA
105379336	LOC105379336	8	-	ncRNA
105379337	LOC105379337	8	-	ncRNA
105379339	LOC105379339	8	-	ncRNA
105379340	LOC105379340	8	-	ncRNA
105379342	LOC105379342	8	-	ncRNA
105379343	LOC105379343	8	-	ncRNA
105379344	LOC105379344	8	-	ncRNA
105379345	LOC105379345	8	-	ncRNA
105379346	LOC105379346	8	-	ncRNA
105379349	LOC105379349	8	-	ncRNA
105379350	LOC105379350	8	-	ncRNA
105379351	LOC105379351	8	-	ncRNA
105379352	LOC105379352	8	-	ncRNA
105379354	LOC105379354	8	-	ncRNA
105379355	LOC105379355	8	-	ncRNA
105379356	LOC105379356	8	-	protein-coding
105379357	LOC105379357	8	-	ncRNA
105379358	LOC105379358	8	-	ncRNA
105379360	LOC105379360	8	-	ncRNA
105379361	LOC105379361	8	-	ncRNA
105379362	LOC105379362	8	-	ncRNA
105379363	LOC105379363	8	-	ncRNA
105379364	LOC105379364	8	-	ncRNA
105379365	LOC105379365	8	-	ncRNA
105379366	LOC105379366	8	-	ncRNA
105379368	LOC105379368	8	-	ncRNA
105379369	LOC105379369	8	-	ncRNA
105379370	LOC105379370	8	-	ncRNA
105379371	LOC105379371	8	-	ncRNA
105379374	LOC105379374	8	-	ncRNA
105379375	LOC105379375	8	-	ncRNA
105379376	LOC105379376	8	-	ncRNA
105379377	LOC105379377	8	-	ncRNA
105379378	LOC105379378	8	-	ncRNA
105379379	LOC105379379	8	-	ncRNA
105379380	LOC105379380	8	-	ncRNA
105379381	LOC105379381	8	-	ncRNA
105379382	LOC105379382	8	-	ncRNA
105379383	LOC105379383	8	-	ncRNA
105379384	LOC105379384	8	-	ncRNA
105379385	LOC105379385	8	-	ncRNA
105379386	LOC105379386	8	-	ncRNA
105379387	LOC105379387	8	-	ncRNA
105379388	LOC105379388	8	-	ncRNA
105379389	LOC105379389	8	-	ncRNA
105379390	LOC105379390	8	-	ncRNA
105379391	LOC105379391	8	-	ncRNA
105379392	LOC105379392	8	-	ncRNA
105379393	LOC105379393	8	-	ncRNA
105379395	LOC105379395	8	-	ncRNA
105379396	LOC105379396	8	-	ncRNA
105379397	LOC105379397	8	-	ncRNA
105379400	LOC105379400	4	-	ncRNA
105379403	LOC105379403	4	-	ncRNA
105379404	LOC105379404	4	-	ncRNA
105379406	LOC105379406	11	-	ncRNA
105379407	LOC105379407	11	-	ncRNA
105379409	LOC105379409	11	-	ncRNA
105379412	LOC105379412	4	-	ncRNA
105379413	LOC105379413	X|Y	-	ncRNA
105379414	LOC105379414	X|Y	-	ncRNA
105379417	LOC105379417	Un	-	protein-coding
105379418	LOC105379418	22	-	ncRNA
105379420	LOC105379420	Un	-	ncRNA
105379426	LOC105379426	3	-	ncRNA
105379427	ZNF73	22	Cos12|ZNF186|hZNF2	pseudo
105379428	LOC105379428	22	-	ncRNA
105379430	LOC105379430	22	-	ncRNA
105379434	LOC105379434	9	-	ncRNA
105379435	LOC105379435	9	-	ncRNA
105379437	LOC105379437	9	-	ncRNA
105379438	LOC105379438	9	-	ncRNA
105379439	LOC105379439	9	-	ncRNA
105379442	LOC105379442	9	-	ncRNA
